date,sales,revenue,stock,price,is_promoted
2017-07-19,0.0,0.0,4.0,11.9,1
2018-04-24,0.0,0.0,10.0,4.75,0
2018-11-22,0.0,0.0,8.0,18.95,1
2019-09-06,9.0,8.33,78.0,1.0,0
2019-06-07,0.0,0.0,4.0,69.9,0
2017-11-06,0.0,0.0,10.0,1.85,0
2019-03-29,2.0,22.22,27.0,11.35,0
2017-08-16,3.0,8.61,11.0,3.1,0
2019-06-23,1.0,6.25,131.0,6.75,0
2019-01-13,0.0,0.0,15.0,1.75,0
2019-02-16,0.0,0.0,12.0,4.5,0
2019-10-04,0.0,0.0,6.0,35.5,0
2019-06-25,0.0,0.0,6.0,18.5,0
2017-02-17,0.0,0.0,14.0,5.9,1
2018-06-06,1.0,3.15,21.0,3.4,0
2018-02-13,0.0,0.0,11.0,3.85,0
2019-08-17,0.0,0.0,10.0,13.25,0
2017-05-22,0.0,0.0,9.0,10.9,1
2019-02-09,0.0,0.0,5.0,18.5,1
2019-08-24,0.0,0.0,13.0,3.45,0
2018-12-21,0.0,0.0,21.0,7.25,1
2018-08-16,0.0,0.0,1.0,14.9,0
2019-03-09,1.0,32.31,243.0,34.9,0
2017-07-20,0.0,0.0,6.0,10.75,0
2018-10-02,0.0,0.0,17.0,17.9,0
2019-01-29,0.0,0.0,2.0,10.9,0
2018-08-30,0.0,0.0,7.0,7.9,0
2018-11-17,0.0,0.0,16.0,21.9,0
2019-05-23,4.0,3.7,74.0,1.0,0
2018-09-13,0.0,0.0,20.0,2.75,0
2019-02-03,1.0,1.39,17.0,1.5,0
2019-10-18,0.0,0.0,9.0,19.9,0
2018-07-24,0.0,0.0,90.0,4.25,0
2018-09-24,0.0,0.0,9.0,6.9,0
2018-03-21,0.0,0.0,27.0,3.25,0
2019-02-21,3.0,4.03,39.0,1.45,1
2017-03-19,0.0,0.0,2.0,14.9,0
2018-11-29,0.0,0.0,5.0,5.0,0
2018-01-28,0.0,0.0,14.0,5.95,0
2018-03-18,0.0,0.0,11.0,3.95,0
2018-04-14,0.0,0.0,6.0,22.9,0
2019-02-24,0.0,0.0,19.0,1.15,0
2018-02-20,0.0,0.0,7.0,5.25,0
2018-05-30,0.0,0.0,25.0,2.5,0
2018-09-24,0.0,0.0,7.0,11.9,0
2018-09-30,0.0,0.0,1.0,10.95,0
2019-08-29,0.0,0.0,9.0,9.25,0
2018-01-22,0.0,0.0,13.0,9.9,0
2018-09-10,0.0,0.0,50.0,6.5,0
2017-12-12,4.0,10.93,122.0,2.95,0
2019-08-12,0.0,0.0,2.0,18.95,1
2017-03-13,6.0,3.89,466.0,0.7,0
2017-09-04,0.0,0.0,3.0,5.5,0
2017-01-25,0.0,0.0,4.0,3.0,0
2018-03-31,0.0,0.0,10.0,,0
2017-06-28,0.0,0.0,26.0,2.5,0
2017-12-19,0.0,0.0,4.0,4.9,0
2017-05-22,0.0,0.0,27.0,2.5,0
2018-09-09,0.0,0.0,15.0,2.45,0
2017-12-28,0.0,0.0,52.0,18.9,0
2018-04-15,1.0,1.62,24.0,1.75,0
2019-02-21,2.0,38.14,6.0,22.5,0
2017-01-09,0.0,0.0,6.0,37.9,0
2019-07-21,4.0,23.39,9.0,6.9,0
2018-04-13,0.0,0.0,19.0,,0
2017-08-21,0.0,0.0,12.0,23.9,0
2018-06-28,0.0,0.0,34.0,1.25,0
2019-03-25,0.0,0.0,14.0,3.1,0
2017-01-26,0.0,0.0,15.0,13.0,0
2018-06-09,0.0,0.0,5.0,17.9,0
2018-03-18,0.0,0.0,2.0,8.9,0
2018-10-29,0.0,0.0,12.0,5.45,0
2018-11-25,1.0,14.36,4.0,16.95,0
2019-06-14,0.0,0.0,2.0,89.9,1
2019-03-21,1.0,2.31,27.0,2.5,0
2018-09-19,0.0,0.0,3.0,29.95,0
2019-07-05,1.0,4.15,10.0,4.9,0
2017-01-07,3.0,2.78,118.0,1.49,1
2019-02-28,0.0,0.0,5.0,12.95,0
2019-08-07,0.0,0.0,13.0,22.5,1
2019-10-06,2.0,7.41,34.0,4.0,1
2017-11-04,0.0,0.0,33.0,7.95,1
2018-08-26,0.0,0.0,14.0,21.9,1
2019-01-03,0.0,0.0,3.0,6.35,0
2019-01-01,0.0,0.0,5.0,39.9,0
2018-05-26,0.0,0.0,22.0,9.5,0
2017-01-19,0.0,0.0,11.0,3.15,0
2018-06-11,0.0,0.0,2.0,3.95,0
2018-10-24,0.0,0.0,10.0,17.99,0
2018-01-10,0.0,0.0,2.0,7.9,0
2019-10-26,0.0,0.0,7.0,15.95,0
2017-07-20,0.0,0.0,24.0,46.9,0
2019-08-17,0.0,0.0,5.0,34.9,0
2018-08-22,0.0,0.0,22.0,5.0,0
2017-03-06,0.0,0.0,8.0,3.95,0
2018-09-04,0.0,0.0,12.0,2.6,0
2017-12-20,0.0,0.0,3.0,12.95,1
2019-06-25,0.0,0.0,3.0,,1
2019-02-07,1.0,2.04,14.0,2.2,0
2018-10-13,0.0,0.0,10.0,19.75,0
2018-11-06,0.0,0.0,2.0,1.0,0
2019-02-01,0.0,0.0,12.0,18.5,0
2019-08-24,0.0,0.0,12.0,19.9,1
2018-06-03,0.0,0.0,12.0,22.9,0
2017-09-07,0.0,0.0,5.0,29.75,0
2017-08-07,0.0,0.0,2.0,0.75,0
2017-03-08,0.0,0.0,13.0,23.5,0
2018-09-24,0.0,0.0,24.0,4.9,0
2018-03-31,0.0,0.0,10.0,22.9,0
2019-06-20,0.0,0.0,9.0,12.5,0
2017-08-01,0.0,0.0,5.0,3.25,0
2018-06-02,0.0,0.0,15.0,1.85,0
2017-04-27,0.0,0.0,14.0,5.5,0
2019-04-16,0.0,0.0,10.0,10.95,0
2018-07-29,0.0,0.0,8.0,,0
2019-10-07,3.0,14.58,17.0,5.25,0
2017-12-30,1.0,1.85,13.0,2.0,0
2018-06-07,0.0,0.0,7.0,2.0,0
2017-02-26,0.0,0.0,8.0,9.9,0
2018-11-20,0.0,0.0,79.0,8.95,0
2018-05-10,0.0,0.0,20.0,1.15,0
2017-12-11,0.0,0.0,4.0,3.65,0
2019-01-27,0.0,0.0,10.0,13.9,0
2018-04-09,0.0,0.0,4.0,10.75,0
2018-04-01,0.0,0.0,5.0,4.9,0
2019-08-25,0.0,0.0,1.0,4.65,0
2017-04-08,0.0,0.0,9.0,9.95,0
2018-10-13,0.0,0.0,57.0,8.5,0
2019-04-10,5.0,46.3,109.0,10.0,0
2019-01-10,0.0,0.0,18.0,6.5,0
2018-10-18,0.0,0.0,7.0,74.9,1
2019-02-04,0.0,0.0,12.0,3.1,0
2019-07-03,0.0,0.0,59.0,4.25,0
2019-03-20,1.0,14.32,4.0,16.9,0
2019-04-04,0.0,0.0,6.0,39.95,0
2017-12-07,0.0,0.0,4.0,44.9,0
2019-01-03,0.0,0.0,9.0,34.9,0
2017-12-12,3.0,8.19,73.0,2.95,0
2018-03-25,0.0,0.0,11.0,8.5,0
2019-04-29,0.0,0.0,10.0,13.95,1
2019-09-20,0.0,0.0,6.0,3.5,0
2019-10-13,0.0,0.0,5.0,12.9,1
2017-05-01,0.0,0.0,26.0,1.0,0
2017-10-20,0.0,0.0,15.0,3.99,0
2018-05-06,1.0,6.74,0.0,15.9,1
2018-11-05,0.0,0.0,6.0,49.9,0
2017-09-04,0.0,0.0,28.0,1.3,0
2018-02-08,0.0,0.0,1.0,18.9,0
2019-06-24,0.0,0.0,6.0,5.9,0
2018-11-12,0.0,0.0,5.0,9.95,0
2017-11-22,0.0,0.0,353.0,,0
2018-03-31,1.0,6.57,5.0,7.75,0
2019-03-25,0.0,0.0,7.0,6.5,0
2017-11-03,0.0,0.0,8.0,6.55,1
2017-12-30,8.0,21.85,52.0,2.95,0
2018-01-05,0.0,0.0,18.0,2.45,0
2017-01-04,0.0,0.0,30.0,3.5,1
2019-01-06,0.0,0.0,6.0,12.5,0
2019-09-17,0.0,0.0,5.0,56.9,0
2017-09-10,0.0,0.0,8.0,4.95,0
2019-03-11,0.0,0.0,6.0,8.95,0
2018-08-14,0.0,0.0,74.0,1.25,0
2018-11-07,0.0,0.0,6.0,14.9,0
2019-08-08,0.0,0.0,15.0,9.5,1
2017-06-05,0.0,0.0,7.0,9.95,0
2019-03-25,0.0,0.0,10.0,2.0,0
2017-06-05,0.0,0.0,12.0,14.5,0
2019-03-16,0.0,0.0,1.0,4.05,0
2017-05-13,0.0,0.0,10.0,1.0,0
2017-08-31,0.0,0.0,9.0,12.9,0
2019-03-18,0.0,0.0,1.0,59.9,1
2017-12-02,0.0,0.0,4.0,0.75,0
2017-11-14,0.0,0.0,2.0,109.0,0
2019-02-02,0.0,0.0,7.0,8.9,1
2019-07-11,0.0,0.0,16.0,1.75,0
2017-10-18,0.0,0.0,13.0,3.5,0
2019-03-22,0.0,0.0,7.0,9.9,0
2019-07-30,0.0,0.0,1.0,24.9,0
2017-08-19,1.0,2.97,274.0,3.5,0
2017-12-02,0.0,0.0,11.0,23.5,0
2019-05-16,5.0,19.68,135.0,4.25,0
2018-08-31,0.0,0.0,4.0,6.75,0
2019-04-09,2.0,8.33,11.0,4.5,0
2019-09-18,0.0,0.0,12.0,41.5,0
2019-10-25,0.0,0.0,10.0,21.9,0
2018-10-25,0.0,0.0,8.0,24.95,0
2018-08-09,0.0,0.0,10.0,,0
2019-08-18,1.0,4.58,11.0,4.95,0
2017-11-19,0.0,0.0,1.0,22.95,0
2018-01-03,0.0,0.0,21.0,3.1,0
2017-08-22,0.0,0.0,9.0,10.75,0
2018-10-31,0.0,0.0,21.0,1.15,0
2019-10-30,0.0,0.0,2.0,17.99,0
2017-05-12,0.0,0.0,2.0,8.9,0
2018-02-07,0.0,0.0,7.0,19.5,0
2018-02-21,0.0,0.0,10.0,4.0,0
2019-08-06,0.0,0.0,13.0,4.95,0
2018-01-02,3.0,2.78,18.0,,0
2019-05-30,2.0,36.85,0.0,19.9,0
2017-01-07,0.0,0.0,7.0,6.9,0
2019-09-11,0.0,0.0,7.0,219.9,0
2018-09-16,0.0,0.0,78.0,0.75,0
2017-04-15,0.0,0.0,33.0,4.05,0
2019-05-28,0.0,0.0,11.0,8.9,0
2019-01-10,0.0,0.0,7.0,84.9,0
2017-10-23,0.0,0.0,10.0,2.95,0
2018-10-03,0.0,0.0,2.0,66.5,0
2018-09-14,0.0,0.0,10.0,13.95,1
2018-06-29,0.0,0.0,8.0,8.95,0
2019-03-05,0.0,0.0,2.0,2.75,0
2018-09-30,0.0,0.0,23.0,0.5,0
2018-03-12,0.0,0.0,4.0,2.25,0
2017-11-08,0.0,0.0,14.0,2.65,0
2019-02-27,0.0,0.0,5.0,7.5,0
2017-11-23,0.0,0.0,6.0,66.9,0
2019-07-01,0.0,0.0,9.0,73.95,0
2018-11-28,1.0,7.58,7.0,8.95,0
2017-05-15,1.0,0.6,7.0,0.65,0
2018-12-19,0.0,0.0,11.0,3.25,0
2018-09-14,0.0,0.0,83.0,0.65,0
2019-09-13,0.0,0.0,2.0,114.9,0
2019-10-03,0.0,0.0,2.0,7.25,1
2018-01-01,0.0,0.0,25.0,7.95,0
2019-08-28,1.0,15.17,2.0,17.9,0
2017-03-20,1.0,3.6,102.0,4.25,0
2019-05-29,0.0,0.0,7.0,15.9,0
2017-03-29,4.0,7.78,19.0,2.1,0
2017-05-10,0.0,0.0,32.0,1.5,0
2019-01-16,0.0,0.0,7.0,7.75,0
2018-06-17,0.0,0.0,5.0,3.4,0
2017-01-14,2.0,36.94,0.0,19.95,0
2017-05-31,0.0,0.0,25.0,3.15,0
2019-01-16,0.0,0.0,44.0,4.9,0
2017-10-26,0.0,0.0,56.0,2.25,0
2018-09-19,1.0,0.64,177.0,0.75,0
2019-04-24,0.0,0.0,26.0,1.45,0
2017-10-18,0.0,0.0,7.0,1.85,0
2017-12-20,0.0,0.0,24.0,,0
2019-06-16,0.0,0.0,6.0,25.9,0
2018-09-04,0.0,0.0,30.0,6.5,0
2017-02-28,5.0,12.27,150.0,2.65,0
2018-01-23,0.0,0.0,12.0,1.95,0
